date,price,district
2015/12/1,78.65,南州鄉農會
2016/1/1,62,南州鄉農會
2016/2/1,68.5,南州鄉農會
2016/3/1,69.06,南州鄉農會
2016/4/1,64.1,南州鄉農會
2016/5/1,55,南州鄉農會
2016/11/1,83,南州鄉農會
2016/12/1,61.98,南州鄉農會
2017/1/1,77.5,南州鄉農會
2017/2/1,127.56,南州鄉農會
2017/3/1,72.11,南州鄉農會
2017/4/1,53.33,南州鄉農會
2017/5/1,42,南州鄉農會
2017/11/1,65,南州鄉農會
2017/12/1,69.72,南州鄉農會
2018/1/1,52.72,南州鄉農會
2018/2/1,69.25,南州鄉農會
2018/3/1,54.93,南州鄉農會
2018/4/1,50,南州鄉農會
2018/5/1,56,南州鄉農會
2018/12/1,67.12,南州鄉農會
2010/1/1,67.33,佳冬鄉農會
2010/2/1,55,佳冬鄉農會
2010/3/1,47,佳冬鄉農會
2010/4/1,45.67,佳冬鄉農會
2010/5/1,50.33,佳冬鄉農會
2010/6/1,41.5,佳冬鄉農會
2010/12/1,63,佳冬鄉農會
2011/1/1,57.67,佳冬鄉農會
2011/2/1,60.5,佳冬鄉農會
2011/3/1,69.67,佳冬鄉農會
2011/4/1,61,佳冬鄉農會
2011/5/1,46.33,佳冬鄉農會
2011/6/1,43.33,佳冬鄉農會
2011/12/1,52.33,佳冬鄉農會
2012/1/1,50,佳冬鄉農會
2012/2/1,47,佳冬鄉農會
2012/3/1,45,佳冬鄉農會
2012/4/1,52.33,佳冬鄉農會
2012/5/1,41,佳冬鄉農會
2012/6/1,33.33,佳冬鄉農會
2012/12/1,59.67,佳冬鄉農會
2013/1/1,63.33,佳冬鄉農會
2013/2/1,65,佳冬鄉農會
2013/3/1,60,佳冬鄉農會
2013/4/1,51.67,佳冬鄉農會
2013/5/1,53.33,佳冬鄉農會
2013/6/1,45,佳冬鄉農會
2013/12/1,67.5,佳冬鄉農會
2014/1/1,68.33,佳冬鄉農會
2014/2/1,67.5,佳冬鄉農會
2014/3/1,55,佳冬鄉農會
2014/4/1,45,佳冬鄉農會
2014/5/1,55,佳冬鄉農會
2014/6/1,45,佳冬鄉農會
2014/12/1,68.33,佳冬鄉農會
2015/1/1,60,佳冬鄉農會
2015/2/1,57.5,佳冬鄉農會
2015/3/1,52.33,佳冬鄉農會
2015/4/1,46.67,佳冬鄉農會
2015/5/1,55,佳冬鄉農會
2015/6/1,45,佳冬鄉農會
2015/12/1,61.67,佳冬鄉農會
2016/1/1,45.67,佳冬鄉農會
2016/2/1,50,佳冬鄉農會
2016/3/1,58.33,佳冬鄉農會
2016/4/1,51.67,佳冬鄉農會
2016/5/1,48.33,佳冬鄉農會
2016/12/1,62.67,佳冬鄉農會
2017/1/1,87.5,佳冬鄉農會
2017/2/1,115.57,佳冬鄉農會
2017/3/1,63.33,佳冬鄉農會
2017/4/1,51.67,佳冬鄉農會
2017/5/1,45,佳冬鄉農會
2017/12/1,67.5,佳冬鄉農會
2018/1/1,50,佳冬鄉農會
2018/2/1,60,佳冬鄉農會
2018/3/1,51.67,佳冬鄉農會
2018/4/1,48.33,佳冬鄉農會
2018/5/1,50,佳冬鄉農會
2018/12/1,65,佳冬鄉農會
